word,count,freq
recognize,1337,27
homes,1338,27
bills,1339,27
journalists,1340,27
conflict,1341,27
built,1342,27
calling,1343,27
fewer,1344,27
whatever,1345,27
officer,1346,27
rising,1347,27
lawmakers,1348,27
account,1349,27
december,1350,27
join,1351,26
compared,1352,26
letxexxs,1353,26
weight,1354,26
journal,1355,26
scene,1356,26
cuts,1357,26
robert,1358,26
becoming,1359,26
author,1360,26
partners,1361,26
presidentxexxs,1362,26
production,1363,26
rally,1364,26
v,1365,26
range,1366,26
trust,1367,26
appears,1368,26
particular,1369,26
whatxexxs,1370,26
researchers,1371,26
shared,1372,26
angry,1373,26
bloomberg,1374,26
played,1375,26
encourage,1376,26
solve,1377,26
activists,1378,26
latest,1379,26
steps,1380,26
arab,1381,26
chris,1382,26
rightwing,1383,26
capacity,1384,26
mention,1385,26
debt,1386,26
signed,1387,26
reached,1388,26
vulnerable,1389,26
main,1390,26
legislature,1391,26
false,1392,26
helping,1393,26
xexxcyou,1394,26
send,1395,26
attempt,1396,25
parenthood,1397,25
estate,1398,25
affordable,1399,25
forward,1400,25
association,1401,25
hardly,1402,25
written,1403,25
identity,1404,25
showed,1405,25
reasonable,1406,25
violent,1407,25
exposed,1408,25
permanent,1409,25
ran,1410,25
claimed,1411,25
pretty,1412,25
prisoners,1413,25
movies,1414,25
lose,1415,25
havenxexxt,1416,25
conditions,1417,25
feeling,1418,25
eyes,1419,25
outrage,1420,25
training,1421,25
coal,1422,25
talked,1423,25
noted,1424,25
door,1425,25
seeing,1426,25
arms,1427,25
nominee,1428,25
proposals,1429,25
academic,1430,25
shouldnxexxt,1431,25
playing,1432,25
longterm,1433,25
collective,1434,25
congressional,1435,25
supporting,1436,25
activities,1437,25
revenue,1438,25
marriage,1439,25
decisions,1440,25
responsible,1441,25
fund,1442,25
isis,1443,25
drop,1444,25
wednesday,1445,25
putting,1446,25
hong,1447,25
medicaid,1448,25
son,1449,24
instance,1450,24
desire,1451,24
xexxcitxexxs,1452,24
earth,1453,24
contrast,1454,24
meet,1455,24
considered,1456,24
urban,1457,24
interesting,1458,24
protests,1459,24
respond,1460,24
rape,1461,24
directly,1462,24
voted,1463,24
beat,1464,24
couple,1465,24
greatest,1466,24
proved,1467,24
television,1468,24
systems,1469,24
movie,1470,24
revolution,1471,24
simple,1472,24
supply,1473,24
camp,1474,24
fair,1475,24
asylum,1476,24
socalled,1477,24
sell,1478,24
network,1479,24
combat,1480,24
th,1481,24
rural,1482,24
employment,1483,24
carry,1484,24
michael,1485,24
target,1486,24
expand,1487,24
discussion,1488,24
disease,1489,24
difference,1490,24
spring,1491,24
october,1492,24
interested,1493,24
projects,1494,24
charge,1495,24
burden,1496,24
stronger,1497,24
