UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,YEAR,QUARTER,CURR_ASSETS,FLIGHT_EQUIP,ASSETS,CURR_LIABILITIES,NON_REC_LIAB,DEF_CREDITS
0WQ,Avjet Corporation,0WQ,Avjet Corporation,2009,4,10251.01,23996.25,29507.72,4973.2,21161.18,1044.41
M6,Amerijet International,M6,Amerijet International,2016,3,61896.17,10596.37,140349.27,93946.96,1210.84,0
WI,Sky Lease Cargo,WI,Tradewinds Airlines,2003,4,20806.02,5373.66,26544.43,9790.95,20437.26,
NA,North American Airlines,NA,North American Airlines,2013,4,41496,50146,121866,15065,7918,29968
PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,2001,2,44796.41,75790.6,122504.96,158318.11,75461.61,
XP,XTRA Airways,XP,XTRA Airways,2015,2,6155.74,485.6,11997.64,9280.09,389.93,782.1
8C,Air Transport International,8C,Air Transport International,1993,2,8945.48,317.8,9250.01,2206.87,,
ABX,ABX Air Inc,ABX,ABX Air Inc,2015,2,359421.91,98228.3,414852.86,54037.6,150710.27,-39604.07
NA,North American Airlines,XG,North American Airlines,1997,4,9223.19,1175.5,11184.95,6921.59,,328.22
X9,Omni Air International LLC,X9,Omni Air Express,2001,2,15413.38,,25219.79,13607.14,,
WI,Sky Lease Cargo,WI,Tradewinds Airlines,2006,3,9667.13,77873.74,67556.61,27578.16,24538.8,
UA,United Air Lines Inc.,UA,United Air Lines Inc.,1995,4,2433330,7802931,11392938,4402900,5580759,1270607
BE,Braniff International Airlines Inc.,BE,Braniff International Airlines Inc.,1992,1,16551.9,413.23,23719.06,20849.58,12792.41,
ABX,ABX Air Inc,ABX,ABX Air Inc,2015,1,361610.25,91975.96,417635.76,59936.62,154819.44,-39604.07
UA,United Air Lines Inc.,UA,United Air Lines Inc.,1993,4,3266670,7688355,12153325,4874777,5189999,1414356
WI,Sky Lease Cargo,WI,Tradewinds Airlines,2005,4,9866.84,59680.65,63793.06,20288.45,26159.7,
ABX,ABX Air Inc,ABX,ABX Air Inc,2010,4,666828.7,77681.71,735247.94,78182.06,454746.54,-49880.19
SY,Sun Country Airlines d/b/a MN Airlines,SYQ,Sun Country Airlines,1990,1,7322.26,893.2,9332.69,8867.77,,
9S,Southern Air Inc.,9S,Southern Air Inc.,2007,4,14052.91,52575.84,62349.25,34874.26,,396.92
SY,Sun Country Airlines d/b/a MN Airlines,SYQ,Sun Country Airlines,1990,3,8417,893.2,10119.68,7085.12,,
U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,2011,3,48568.92,122652.19,64426.11,44666.65,13672.68,2300
FNQ,Fine Airlines Inc.,FNQ,Fine Airlines Inc.,1997,1,22651.42,525,27166.9,18615.28,576.94,
9E,Endeavor Air Inc.,9E,Endeavor Air Inc.,2014,1,98217,37203,168255,89267,45000,0
GL,Miami Air International,MMQ,Miami Air International,2002,4,14295.15,4382.31,19649.28,12172.47,14525.67,
0WQ,Avjet Corporation,0WQ,Avjet Corporation,2010,2,12674.19,23996.25,31497.26,7635.34,20698.89,1098.95
U5,USA 3000 Airlines,U5,USA 3000 Airlines,2010,2,17586.68,19150.49,26454.22,26035.61,18300,778.9
NK,Spirit Air Lines,NK,Spirit Air Lines,2002,4,72867.27,130924.81,185482.51,151984.3,67020.03,924.62
U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,2001,2,22565.06,110239.68,84519.24,25660.88,75180,6740.17
NK,Spirit Air Lines,NK,Spirit Air Lines,2006,1,62405.41,14779.83,143519.75,151186.83,75587.83,2274.22
NK,Spirit Air Lines,NK,Spirit Air Lines,1997,3,15401,27219.61,40153.85,22105.63,12766.08,761.11
GL,Miami Air International,GL,Miami Air International,2006,1,17285.78,2467.72,22954.14,15998.57,2102.04,646
WI,Sky Lease Cargo,WI,Tradewinds Airlines,2008,1,10062.76,43047.35,45143.91,17979.67,30144.71,
